Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
520000,2.1096196,0.0,37.31800766283525,-0.618813,-0.6258911566944415,-0.6258911566944415,1.0
530000,2.1364768,0.0,38.726190476190474,-0.6126295,-0.5632142585125708,-0.5632142585125708,1.0
540000,2.1361787,0.0,39.65587044534413,-0.578384,-0.5522938935983519,-0.5522938935983519,1.0
550000,2.096692,0.0,42.98237885462555,-0.56680995,-0.5347885126617249,-0.5347885126617249,1.0
560000,2.0973551,0.0,44.46818181818182,-0.4953676,-0.47665359567512167,-0.47665359567512167,1.0
570000,2.0939524,0.0,47.19117647058823,-0.46791327,-0.4406945874778236,-0.4406945874778236,1.0
580000,2.075439,0.0,47.189320388349515,-0.46208853,-0.40705336239731427,-0.40705336239731427,1.0
590000,2.0467672,0.0,55.62011173184357,-0.44104904,-0.2882580458493539,-0.2882580458493539,1.0
600000,2.0593777,0.0,51.92063492063492,-0.4090227,-0.3726094832653722,-0.3726094832653722,1.0
610000,2.0608144,0.0,55.6551724137931,-0.38171428,-0.32630110294397535,-0.32630110294397535,1.0
620000,2.033742,0.0,54.80225988700565,-0.3455909,-0.29288582512214356,-0.29288582512214356,1.0
630000,2.0454023,0.0,60.13690476190476,-0.28961396,-0.20652373277005695,-0.20652373277005695,1.0
640000,2.0644681,0.0,68.38028169014085,-0.2737456,-0.04714498999463001,-0.04714498999463001,1.0
650000,2.0467741,0.0,79.4,-0.24933222,0.1586216077331669,0.1586216077331669,1.0
660000,2.042475,0.0,72.35507246376811,-0.25785035,-0.0326738225809042,-0.0326738225809042,1.0
670000,2.0388775,0.0,73.05185185185185,-0.18981811,0.033223799422935206,0.033223799422935206,1.0
680000,2.022323,0.0,76.952,-0.16299279,0.06981120861711956,0.06981120861711956,1.0
690000,2.0204687,0.0,75.6328125,-0.12463658,0.11515477870125324,0.11515477870125324,1.0
700000,2.0161893,0.0,84.35,-0.138418,0.2769717678427696,0.2769717678427696,1.0
710000,2.0053134,0.0,93.27450980392157,-0.01835963,0.4179020990051475,0.4179020990051475,1.0
720000,2.0093348,0.0,103.25252525252525,-0.029122155,0.6549121616408229,0.6549121616408229,1.0
730000,1.9610834,0.0,88.75,-0.008583966,0.382885313420384,0.382885313420384,1.0
740000,1.9576015,0.0,97.16822429906541,0.0030361926,0.5058775178314943,0.5058775178314943,1.0
750000,1.9798658,0.0,103.22826086956522,0.18282615,0.6682871366324632,0.6682871366324632,1.0
760000,1.9719307,0.0,108.1978021978022,0.21065529,0.8748566816034524,0.8748566816034524,1.0
770000,1.9676696,0.0,102.29896907216495,0.27367276,0.7255064295604825,0.7255064295604825,1.0
780000,1.9570956,0.0,96.91836734693878,0.2589228,0.6951476645590079,0.6951476645590079,1.0
790000,1.912841,0.0,140.15714285714284,0.26094276,1.4546379235343656,1.4546379235343656,1.0
800000,1.9119062,0.0,137.22784810126583,0.19604504,1.3429924427688895,1.3429924427688895,1.0
810000,1.932153,0.0,128.77142857142857,0.25891894,1.2865755770304432,1.2865755770304432,1.0
820000,1.9349953,0.0,157.6875,0.29889888,1.7635378260165453,1.7635378260165453,1.0
830000,1.887029,0.0,141.2089552238806,0.24651268,1.432412374200243,1.432412374200243,1.0
840000,1.8902447,0.0,189.72727272727272,0.3377229,2.4284361749887466,2.4284361749887466,1.0
850000,1.963065,1.0,155.327868852459,0.34542546,1.4804869936779141,1.4804869936779141,1.0
860000,1.9725944,1.0,186.22916666666666,0.38686422,1.9325268828139013,1.9325268828139013,1.0
870000,1.9708091,2.0,172.26785714285714,0.40168306,1.78008756312457,1.78008756312457,1.0
880000,2.0829844,2.0,116.45121951219512,0.4391154,0.5411489507774028,0.5411489507774028,1.0
890000,2.0361528,2.0,118.3780487804878,0.43676707,0.5159855314144274,0.5159855314144274,1.0
900000,2.0104754,2.0,124.4625,0.45984593,0.6873577259480953,0.6873577259480953,1.0
910000,1.9783968,2.0,130.35616438356163,0.39758104,0.7611326414185602,0.7611326414185602,1.0
920000,1.9714389,2.0,129.94736842105263,0.3235257,0.7707633658459312,0.7707633658459312,1.0
930000,1.9617515,2.0,162.01724137931035,0.4122614,1.3373243932066292,1.3373243932066292,1.0
940000,1.9244325,2.0,184.58823529411765,0.45766476,1.765804265644036,1.765804265644036,1.0
950000,1.9242681,2.0,193.7,0.4626141,1.8857083660364151,1.8857083660364151,1.0
960000,1.8959265,2.0,269.2162162162162,0.56867206,3.257308622469773,3.257308622469773,1.0
970000,1.861856,2.0,258.05,0.6317968,3.1600364530697846,3.1600364530697846,1.0
980000,1.8727487,2.0,251.1290322580645,0.71612334,2.8471192736178637,2.8471192736178637,1.0
990000,1.8641757,2.0,268.4736842105263,0.78359705,3.3625110709353496,3.3625110709353496,1.0
1000000,1.8232162,2.0,282.2,0.7645004,3.629665619879961,3.629665619879961,1.0
1010000,1.8494351,2.0,316.48,0.80958074,4.242976653575897,4.242976653575897,1.0
1020000,1.8331583,2.0,315.3235294117647,0.80873066,4.1105065161690995,4.1105065161690995,1.0
